,Condition,Well,Image,Yeast,Hyphae,Intermediate
1,YPD 10^3,1,1,1,3,1
2,YPD 10^3,1,2,2,2,0
3,YPD 10^3,1,3,6,3,0
4,YPD 10^3,1,4,3,5,2
5,YPD 10^3,1,5,6,2,2
6,YPD 10^3,2,1,3,0,4
7,YPD 10^3,2,2,2,3,0
8,YPD 10^3,2,3,9,1,1
9,YPD 10^3,2,4,3,2,0
10,YPD 10^3,2,5,6,3,0
11,YPD 10^3,3,1,14,2,0
12,YPD 10^3,3,2,14,4,1
13,YPD 10^3,3,3,14,7,0
14,YPD 10^3,3,4,13,0,1
15,YPD 10^3,3,5,15,4,0
16,YPD 10^3,4,1,23,1,2
17,YPD 10^3,4,2,17,4,0
18,YPD 10^3,4,3,39,5,1
19,YPD 10^3,4,4,4,0,1
20,YPD 10^3,4,5,33,1,2
21,10% Sup,1,1,47,3,2
22,10% Sup,1,2,61,2,2
23,10% Sup,1,3,35,2,1
24,10% Sup,1,4,40,0,3
25,10% Sup,1,5,14,1,4
26,10% Sup,2,1,52,1,3
27,10% Sup,2,2,50,0,2
28,10% Sup,2,3,24,0,1
29,10% Sup,2,4,106,3,1
30,10% Sup,2,5,54,1,1
31,10% Sup,3,1,36,2,0
32,10% Sup,3,2,63,5,2
33,10% Sup,3,3,38,0,0
34,10% Sup,3,4,58,1,0
35,10% Sup,3,5,47,4,1
36,10% Sup,4,1,141,4,0
37,10% Sup,4,2,38,0,0
38,10% Sup,4,3,29,0,1
39,10% Sup,4,4,12,0,1
40,10% Sup,4,5,43,0,1
41,25% Sup,1,1,52,0,0
42,25% Sup,1,2,83,0,2
43,25% Sup,1,3,36,0,1
44,25% Sup,1,4,18,0,3
45,25% Sup,1,5,22,2,1
46,25% Sup,2,1,26,0,0
47,25% Sup,2,2,43,1,2
48,25% Sup,2,3,72,1,1
49,25% Sup,2,4,12,0,1
50,25% Sup,2,5,44,5,0
51,25% Sup,3,1,25,0,1
52,25% Sup,3,2,70,3,2
53,25% Sup,3,3,91,5,0
54,25% Sup,3,4,37,0,1
55,25% Sup,3,5,50,0,1
56,25% Sup,4,1,82,1,3
57,25% Sup,4,2,88,3,0
58,25% Sup,4,3,64,2,1
59,25% Sup,4,4,49,1,1
60,25% Sup,4,5,40,2,2
61,50% Sup,1,1,26,0,1
62,50% Sup,1,2,21,0,3
63,50% Sup,1,3,18,0,3
64,50% Sup,1,4,12,1,2
65,50% Sup,1,5,13,0,2
66,50% Sup,2,1,16,0,0
67,50% Sup,2,2,19,0,0
68,50% Sup,2,3,22,1,1
69,50% Sup,2,4,5,0,1
70,50% Sup,2,5,7,0,1
71,50% Sup,3,1,14,0,3
72,50% Sup,3,2,15,0,0
73,50% Sup,3,3,23,0,0
74,50% Sup,3,4,22,0,0
75,50% Sup,3,5,16,0,4
76,50% Sup,4,1,15,0,1
77,50% Sup,4,2,22,0,1
78,50% Sup,4,3,44,0,4
79,50% Sup,4,4,25,1,0
80,50% Sup,4,5,11,0,1
81,50% Unfiltered,1,1,57,1,2
82,50% Unfiltered,1,2,57,1,2
83,50% Unfiltered,1,3,55,0,0
84,50% Unfiltered,1,4,47,0,0
85,50% Unfiltered,1,5,87,0,1
86,50% Unfiltered,2,1,58,0,3
87,50% Unfiltered,2,2,68,0,4
88,50% Unfiltered,2,3,79,0,0
89,50% Unfiltered,2,4,144,2,1
90,50% Unfiltered,2,5,76,0,0
91,50% Unfiltered,3,1,59,2,0
92,50% Unfiltered,3,2,53,1,0
93,50% Unfiltered,3,3,54,0,0
94,50% Unfiltered,3,4,50,0,0
95,50% Unfiltered,3,5,96,0,1
96,50% Unfiltered,4,1,53,2,3
97,50% Unfiltered,4,2,70,0,5
98,50% Unfiltered,4,3,79,0,0
99,50% Unfiltered,4,4,137,2,1
100,50% Unfiltered,4,5,76,0,0
101,50% Boiled ,1,1,20,4,6
102,50% Boiled ,1,2,27,6,1
103,50% Boiled ,1,3,7,2,0
104,50% Boiled ,1,4,11,0,0
105,50% Boiled ,1,5,6,3,3
106,50% Boiled ,2,1,25,1,0
107,50% Boiled ,2,2,9,0,1
108,50% Boiled ,2,3,11,3,0
109,50% Boiled ,2,4,40,1,2
110,50% Boiled ,2,5,12,2,0
111,50% Boiled ,3,1,16,2,0
112,50% Boiled ,3,2,36,4,0
113,50% Boiled ,3,3,36,5,1
114,50% Boiled ,3,4,17,4,4
115,50% Boiled ,3,5,12,3,3
116,50% Boiled ,4,1,50,0,1
117,50% Boiled ,4,2,16,2,1
118,50% Boiled ,4,3,10,5,0
119,50% Boiled ,4,4,20,2,0
120,50% Boiled ,4,5,49,4,2